exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
simvp_incepu,epoch,0,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.14552361038612557,0.35481221388509776,0.27462883460077836,122.53623787900234,0.8523152708373172,"(0.354336, 0.356721, 0.355859, 0.352248, 0.352102, 0.356681, 0.355458)","(0.274861, 0.275642, 0.275461, 0.272237, 0.272572, 0.276134, 0.275495)",0.06381364219955035,0.24808959290385246,0.19588134650673186,96.29362985066005,0.696285143494606,"(0.249014, 0.248498, 0.249659, 0.246920, 0.246685, 0.249188, 0.246300)","(0.196004, 0.196203, 0.197791, 0.194519, 0.195309, 0.197144, 0.194199)",,,,,,,
simvp_incepu,epoch,1,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.0416540372819501,0.20346896430741834,0.15598868285404874,86.16920929766715,0.957820104157671,"(0.198215, 0.201054, 0.202929, 0.202941, 0.204256, 0.207532, 0.206943)","(0.151365, 0.153654, 0.155603, 0.155822, 0.156853, 0.159684, 0.158941)",0.04198034859395453,0.2010544559785298,0.1572246556835515,75.77735389981952,0.8275633837495532,"(0.193388, 0.195116, 0.202884, 0.201461, 0.202413, 0.207187, 0.204205)","(0.150354, 0.151873, 0.159005, 0.157953, 0.158718, 0.162530, 0.160139)",,,,,,,
simvp_incepu,epoch,2,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.031361992787966066,0.17689644179920724,0.135948902233801,77.56973426900011,0.968286467993513,"(0.167071, 0.171473, 0.175382, 0.177170, 0.179958, 0.182956, 0.183374)","(0.127837, 0.131587, 0.134901, 0.136452, 0.138604, 0.141011, 0.141251)",0.034277877204918435,0.18183416713561332,0.14228595181235246,69.7497798374721,0.8639730576957975,"(0.170338, 0.172902, 0.178434, 0.181209, 0.185483, 0.189516, 0.193344)","(0.132469, 0.134751, 0.139573, 0.142069, 0.145621, 0.149320, 0.152198)",,,,,,,
simvp_incepu,epoch,3,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.027067464806060208,0.1643963986236136,0.12645174459891118,74.31987782742115,0.9725509856609588,"(0.150950, 0.156736, 0.162433, 0.165305, 0.168862, 0.171884, 0.173129)","(0.115702, 0.120539, 0.125161, 0.127398, 0.130248, 0.132603, 0.133512)",0.028840498699407493,0.1671740553740944,0.13039823515074594,72.45900910241264,0.8840475997754506,"(0.151830, 0.158311, 0.165543, 0.169546, 0.171161, 0.174753, 0.177151)","(0.117685, 0.122967, 0.129262, 0.132619, 0.134068, 0.137188, 0.138999)",,,,,,,
simvp_incepu,epoch,4,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.024727257107325058,0.15715456078420512,0.12068589083216291,72.29874432340581,0.9749080155124056,"(0.141228, 0.147957, 0.154563, 0.158381, 0.162399, 0.166010, 0.167486)","(0.108128, 0.113622, 0.118908, 0.121928, 0.125165, 0.127963, 0.129087)",0.025462804794577614,0.15742958070976393,0.12236193620732852,68.76527878216335,0.8962951387677874,"(0.139142, 0.147606, 0.153978, 0.159089, 0.162907, 0.167295, 0.169258)","(0.107641, 0.114659, 0.119750, 0.123797, 0.127089, 0.131096, 0.132502)",,,,,,,
simvp_incepu,epoch,5,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.023626733482121787,0.15360447915776174,0.11804384686686892,71.27036979350638,0.9760674130409321,"(0.136403, 0.143975, 0.150952, 0.155020, 0.159155, 0.162876, 0.164511)","(0.104653, 0.110752, 0.116265, 0.119416, 0.122737, 0.125628, 0.126856)",0.025263844091179117,0.15696859625833376,0.1216100196221045,70.41721616472516,0.8985076461519513,"(0.137593, 0.145107, 0.152936, 0.158869, 0.164084, 0.167389, 0.169435)","(0.106443, 0.112033, 0.118468, 0.123412, 0.127735, 0.130777, 0.132403)",,,,,,,
simvp_incepu,epoch,6,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.022674659019375733,0.1504824323102508,0.11552562810322071,70.20060930860804,0.9770110744111081,"(0.131709, 0.140138, 0.147879, 0.152274, 0.156538, 0.160233, 0.161909)","(0.100882, 0.107628, 0.113808, 0.117265, 0.120676, 0.123574, 0.124847)",0.023794696433469653,0.15253733550863607,0.11786113679409027,68.19683745929173,0.9043116420507431,"(0.132420, 0.141844, 0.149544, 0.153485, 0.158302, 0.163367, 0.165472)","(0.102429, 0.109449, 0.115685, 0.118756, 0.122736, 0.127123, 0.128851)",,,,,,,
simvp_incepu,epoch,7,1,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.021923513567828116,0.1479912653621611,0.113512211182016,69.10345550293619,0.9777695593681741,"(0.127943, 0.136951, 0.145211, 0.150058, 0.154460, 0.158179, 0.160077)","(0.097872, 0.105069, 0.111632, 0.115550, 0.119072, 0.121976, 0.123414)",0.02304819698578545,0.15018820656197412,0.11601766677839416,67.7423176424844,0.9085854015180043,"(0.128538, 0.138809, 0.147380, 0.152198, 0.156332, 0.161122, 0.163297)","(0.099002, 0.106985, 0.113914, 0.117703, 0.121490, 0.125672, 0.127357)",,,,,,,
simvp_incepu,epoch,8,0,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.021203853724960316,0.1455398330103053,0.11161314390916774,68.40041193049005,0.9785169502522083,"(0.124142, 0.134230, 0.142836, 0.147636, 0.152240, 0.156126, 0.158175)","(0.094997, 0.103022, 0.109902, 0.113688, 0.117325, 0.120385, 0.121973)",0.026098745442660793,0.15953360018985613,0.1261108863566603,66.8180421079908,0.8942696494715554,"(0.137810, 0.147316, 0.157012, 0.162789, 0.166327, 0.171233, 0.170775)","(0.109358, 0.116625, 0.124510, 0.129216, 0.131812, 0.136063, 0.135191)",,,,,,,
simvp_incepu,epoch,9,0,SimVP,14,7,./checkpoints/simvp_incepu.pt,0.02136332880547072,0.1460797573971776,0.1122126320099577,68.34765740658375,0.9783312865394227,"(0.124488, 0.135011, 0.143598, 0.148393, 0.152748, 0.156547, 0.158405)","(0.095583, 0.103857, 0.110653, 0.114455, 0.117846, 0.120836, 0.122258)",0.02336391237830477,0.15150220293019498,0.11685845335679394,69.20828662599835,0.9053808663572583,"(0.129456, 0.138127, 0.147545, 0.154574, 0.159121, 0.162670, 0.164983)","(0.100613, 0.106468, 0.113930, 0.119491, 0.123183, 0.126209, 0.128115)",,,,,,,
