exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
vit,epoch,0,1,TorchVisionViT,,,./checkpoints/vit.pt,0.19060361010834892,0.38312255571143644,0.27760057714074216,120.9844135933734,0.8066386396580554,"(0.338902, 0.362210, 0.378436, 0.379618, 0.401951, 0.405406, 0.409346)","(0.240559, 0.262140, 0.272233, 0.275379, 0.292740, 0.297293, 0.302859)",0.04651460410760982,0.21321840531059674,0.16455727629363537,96.71745974676949,0.8312751821109227,"(0.184336, 0.196257, 0.205056, 0.212362, 0.223825, 0.229256, 0.235562)","(0.141434, 0.151350, 0.158121, 0.164186, 0.173618, 0.178695, 0.184495)",,,,,,,
vit,epoch,1,1,TorchVisionViT,,,./checkpoints/vit.pt,0.03975227506870919,0.19918141472120104,0.15377225481132242,93.82928345051218,0.9597273684562521,"(0.172423, 0.183088, 0.190690, 0.198266, 0.208492, 0.214468, 0.221897)","(0.133180, 0.141715, 0.147395, 0.153466, 0.161513, 0.166573, 0.172564)",0.04005884651892951,0.19855533699904168,0.1546138639428786,96.25441510336739,0.8452454166752952,"(0.171398, 0.182315, 0.190547, 0.198079, 0.207372, 0.213676, 0.220800)","(0.132519, 0.141660, 0.148455, 0.154714, 0.162503, 0.168026, 0.174420)",,,,,,,
vit,epoch,2,1,TorchVisionViT,,,./checkpoints/vit.pt,0.03504743782724155,0.18700516567933537,0.14490825540207802,87.76055642391773,0.9645218215090163,"(0.162015, 0.172260, 0.179662, 0.186828, 0.195262, 0.200947, 0.207596)","(0.125586, 0.133760, 0.139488, 0.145248, 0.151952, 0.156540, 0.161785)",0.03494163399695286,0.185191970584648,0.14371158821242197,80.20390973772321,0.8620600381067821,"(0.160652, 0.171752, 0.178021, 0.184863, 0.193119, 0.198779, 0.204591)","(0.124420, 0.133419, 0.138247, 0.143829, 0.150490, 0.155366, 0.160210)",,,,,,,
vit,epoch,3,1,TorchVisionViT,,,./checkpoints/vit.pt,0.03170542813282698,0.17791164067195747,0.1374708887268888,82.33120441436768,0.9678204937818202,"(0.154114, 0.164224, 0.171464, 0.178178, 0.185562, 0.190987, 0.196772)","(0.119065, 0.127164, 0.132815, 0.138180, 0.143953, 0.148257, 0.152862)",0.032385713287762234,0.17841440652097976,0.13846038627837384,82.76173479216439,0.8676599732467106,"(0.153835, 0.164884, 0.171421, 0.178347, 0.186728, 0.192764, 0.196479)","(0.118701, 0.127866, 0.133033, 0.138794, 0.145864, 0.150966, 0.154000)",,,,,,,
vit,epoch,4,1,TorchVisionViT,,,./checkpoints/vit.pt,0.030049764818729872,0.17323154652553377,0.13379152713620918,80.51219096082322,0.9694853374298583,"(0.150203, 0.160025, 0.167106, 0.173852, 0.180312, 0.186045, 0.191143)","(0.115952, 0.123807, 0.129326, 0.134727, 0.139802, 0.144419, 0.148508)",0.03045691965546991,0.1729344432907445,0.13454535656741687,77.5753435747964,0.8692649539027896,"(0.148583, 0.159855, 0.166214, 0.173744, 0.179773, 0.186674, 0.191373)","(0.115039, 0.124341, 0.129119, 0.135548, 0.140639, 0.146591, 0.150539)",,,,,,,
vit,epoch,5,1,TorchVisionViT,,,./checkpoints/vit.pt,0.02896126949208531,0.1700209535276639,0.13114335819920328,78.83621185383898,0.9706256411811138,"(0.147648, 0.157114, 0.164220, 0.170880, 0.176865, 0.182323, 0.187335)","(0.113781, 0.121364, 0.126924, 0.132231, 0.137003, 0.141342, 0.145359)",0.029967383215469972,0.17185217195323535,0.13237815776041575,79.37655299050468,0.8740022565637316,"(0.148685, 0.158630, 0.165329, 0.172524, 0.178855, 0.184788, 0.190113)","(0.114065, 0.122086, 0.127359, 0.133316, 0.138585, 0.143409, 0.147826)",,,,,,,
vit,epoch,6,1,TorchVisionViT,,,./checkpoints/vit.pt,0.02835823331979361,0.16826166798025816,0.1297044314127019,77.70341781859702,0.9712441493856147,"(0.146198, 0.155503, 0.162804, 0.169381, 0.175009, 0.180268, 0.185003)","(0.112695, 0.120029, 0.125747, 0.130969, 0.135446, 0.139636, 0.143410)",0.029755834689629928,0.17115238362124988,0.13166421146265098,78.07042006083897,0.872558770435197,"(0.148017, 0.157811, 0.164615, 0.171693, 0.177748, 0.184403, 0.189634)","(0.113515, 0.121366, 0.126680, 0.132475, 0.137493, 0.142943, 0.147178)",,,,,,,
vit,epoch,7,0,TorchVisionViT,,,./checkpoints/vit.pt,0.027288548836603442,0.16505670567714872,0.12711389885937913,76.62698483974376,0.9723258456017109,"(0.143830, 0.152667, 0.159776, 0.166100, 0.171555, 0.176614, 0.181349)","(0.110693, 0.117657, 0.123239, 0.128291, 0.132677, 0.136716, 0.140524)",0.02991984345551048,0.17128830110388144,0.13273749527122294,75.4340524332864,0.875238448381424,"(0.147088, 0.157453, 0.165388, 0.172116, 0.178331, 0.184483, 0.189929)","(0.113357, 0.121541, 0.127935, 0.133766, 0.139255, 0.144398, 0.148910)",,,,,,,
vit,epoch,8,1,TorchVisionViT,,,./checkpoints/vit.pt,0.026727777677885395,0.1633813307828382,0.12566658909967604,75.89295411617198,0.972902536075166,"(0.142828, 0.151522, 0.158545, 0.164551, 0.169710, 0.174389, 0.178856)","(0.109776, 0.116604, 0.122155, 0.126947, 0.131081, 0.134776, 0.138328)",0.028539641727028147,0.16780961890305793,0.13028316013514996,75.89677752767291,0.879565070782389,"(0.145424, 0.154681, 0.161719, 0.169202, 0.174674, 0.180716, 0.184431)","(0.112474, 0.119820, 0.125437, 0.131827, 0.136436, 0.141572, 0.144416)",,,,,,,
vit,epoch,9,0,TorchVisionViT,,,./checkpoints/vit.pt,0.026992416990167918,0.16412196273867802,0.12640413003874587,76.37425562675963,0.9726218454381252,"(0.143774, 0.152450, 0.159401, 0.165289, 0.170321, 0.175003, 0.179431)","(0.110667, 0.117507, 0.122987, 0.127663, 0.131682, 0.135380, 0.138943)",0.029130642767995596,0.1692258385675294,0.12987163263772214,77.87188935279846,0.8747455094541822,"(0.146302, 0.155568, 0.163427, 0.170804, 0.176782, 0.181980, 0.185761)","(0.112047, 0.119299, 0.125523, 0.131448, 0.136383, 0.140643, 0.143759)",,,,,,,
