exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfv3_base003,epoch,0,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.1524223134397192,0.31964729028960026,0.24121186153051702,116.44442111887831,0.8450058809620269,"(0.296858, 0.300447, 0.304332, 0.311149, 0.333890, 0.346235, 0.336464)","(0.222464, 0.225128, 0.228282, 0.235881, 0.252792, 0.264901, 0.259035)",0.03145246344086315,0.17486282251775265,0.13266041103218282,79.18043204716274,0.8952005846159798,"(0.129974, 0.148505, 0.165684, 0.174978, 0.187836, 0.197051, 0.206290)","(0.098598, 0.113172, 0.126444, 0.134081, 0.144614, 0.152015, 0.159699)",,,,,,,
msfv3_base003,epoch,1,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.028383932571778906,0.16836787419307972,0.12750724996341037,80.40283811853287,0.9712502255718759,"(0.119739, 0.141381, 0.160678, 0.170097, 0.181808, 0.190928, 0.199427)","(0.090086, 0.107203, 0.122582, 0.130649, 0.140087, 0.147371, 0.154572)",0.027484523099181906,0.16386885222579753,0.12413814051875047,75.98458221980503,0.9050623242344175,"(0.117204, 0.137164, 0.156066, 0.165211, 0.176848, 0.185296, 0.194640)","(0.088555, 0.104192, 0.119037, 0.126856, 0.136431, 0.143196, 0.150701)",,,,,,,
msfv3_base003,epoch,2,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.02538514782258488,0.1592070277067058,0.1205434605399979,76.05281296182186,0.9743208685453902,"(0.108893, 0.131808, 0.151894, 0.161955, 0.172675, 0.181561, 0.189855)","(0.082344, 0.100190, 0.116207, 0.124587, 0.133176, 0.140219, 0.147080)",0.024914648051240613,0.15610316236104285,0.11874662632388729,69.76160175459725,0.9088543227740696,"(0.106477, 0.128189, 0.148599, 0.159216, 0.169104, 0.177596, 0.187198)","(0.081245, 0.098065, 0.114744, 0.123248, 0.130948, 0.137616, 0.145362)",,,,,,,
msfv3_base003,epoch,3,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.023309266482024117,0.15255409631896918,0.11519257256642301,71.63386056778279,0.976352516958054,"(0.099934, 0.124788, 0.144221, 0.156287, 0.166586, 0.175145, 0.183369)","(0.075554, 0.094665, 0.110340, 0.120184, 0.128406, 0.135229, 0.141970)",0.023014002912012593,0.15010479065988744,0.11373115304325308,65.9255564893995,0.9143191788877759,"(0.096795, 0.121417, 0.139974, 0.153712, 0.164113, 0.172829, 0.182834)","(0.073231, 0.092523, 0.107496, 0.118565, 0.127225, 0.134380, 0.142698)",,,,,,,
msfv3_base003,epoch,4,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.022302611889515784,0.14919588940834227,0.11245510243672005,69.3263466814731,0.9773531489549799,"(0.095155, 0.121928, 0.140357, 0.153382, 0.163694, 0.171871, 0.179607)","(0.071812, 0.092310, 0.107225, 0.117891, 0.126144, 0.132682, 0.139121)",0.021393641530136977,0.14484831265040807,0.10862784167485577,65.5849473135812,0.9191938723836627,"(0.090983, 0.117442, 0.134568, 0.148458, 0.158987, 0.167557, 0.176457)","(0.068169, 0.088385, 0.102324, 0.113603, 0.122247, 0.129160, 0.136507)",,,,,,,
msfv3_base003,epoch,5,0,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.02131177377986147,0.14587398050965208,0.10955818461135347,67.2073302979165,0.9783875533240907,"(0.090138, 0.118973, 0.137485, 0.150390, 0.160507, 0.168526, 0.175847)","(0.067440, 0.089707, 0.104795, 0.115443, 0.123587, 0.129937, 0.135999)",0.02244043616311891,0.14887006979967868,0.11181088350713253,69.71272243772235,0.9154064676591328,"(0.091967, 0.119437, 0.138132, 0.153791, 0.164361, 0.173038, 0.180441)","(0.068910, 0.089709, 0.105017, 0.118041, 0.126899, 0.133910, 0.140190)",,,,,,,
msfv3_base003,epoch,6,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.021209548524719603,0.1455422048286125,0.10926042857797856,66.72685893038486,0.9784899376174236,"(0.088616, 0.118429, 0.137403, 0.150387, 0.160392, 0.168386, 0.175362)","(0.066173, 0.089234, 0.104750, 0.115454, 0.123517, 0.129935, 0.135759)",0.020986208525885428,0.14329580776393414,0.10801297585879054,63.94854596682957,0.919858489717756,"(0.086138, 0.114776, 0.132895, 0.147634, 0.157751, 0.166288, 0.176085)","(0.064942, 0.087022, 0.101771, 0.114083, 0.122254, 0.128848, 0.137170)",,,,,,,
msfv3_base003,epoch,7,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.020523743575161443,0.1431524754810048,0.10714886075955757,65.50640917838888,0.979191872350713,"(0.085469, 0.116240, 0.135436, 0.148263, 0.157919, 0.165842, 0.172591)","(0.063277, 0.087302, 0.103080, 0.113659, 0.121456, 0.127829, 0.133437)",0.020377140059801086,0.1412231813051871,0.10638096981814929,61.85712875638689,0.9205872012036187,"(0.084020, 0.113142, 0.131448, 0.145272, 0.155716, 0.164640, 0.172870)","(0.063163, 0.085565, 0.100507, 0.111655, 0.120653, 0.128086, 0.135037)",,,,,,,
msfv3_base003,epoch,8,1,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.02018760515258033,0.14200378848428993,0.10611812702994397,64.79471324352508,0.9795465688122079,"(0.084000, 0.115452, 0.134658, 0.147288, 0.156744, 0.164434, 0.171063)","(0.061799, 0.086484, 0.102373, 0.112837, 0.120506, 0.126682, 0.132145)",0.019991078447284445,0.13987303072852747,0.10482021181711129,61.2497295652117,0.9222147784062794,"(0.081463, 0.111930, 0.130702, 0.144460, 0.154521, 0.163140, 0.170906)","(0.060115, 0.084056, 0.099661, 0.111061, 0.119400, 0.126461, 0.132988)",,,,,,,
msfv3_base003,epoch,9,0,MSFv3,14,7,./checkpoints/msfv3_base003.pt,128,4,4,"(4, 8)",0.020425582928781178,0.1428308190031184,0.10685863872950381,65.30388339022373,0.9792650636840374,"(0.084536, 0.116115, 0.135379, 0.148132, 0.157666, 0.165417, 0.172038)","(0.062396, 0.087113, 0.103077, 0.113588, 0.121274, 0.127524, 0.133038)",0.0203587420151702,0.1414918801082032,0.10573784155505044,64.19338614600045,0.9217303842306137,"(0.086123, 0.114415, 0.131661, 0.144786, 0.155998, 0.164773, 0.172425)","(0.063829, 0.085340, 0.099716, 0.110542, 0.119837, 0.127208, 0.133694)",,,,,,,
