exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfv3_base00003,epoch,0,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.13516611293790506,0.2967939357161091,0.22926050523652675,126.99479981686207,0.8623937482529498,"(0.264678, 0.272332, 0.283350, 0.303599, 0.307863, 0.320882, 0.314301)","(0.204305, 0.209741, 0.218970, 0.235794, 0.239289, 0.250904, 0.245820)",0.027359838198338236,0.16363196367663996,0.12378200143575668,71.5710516657148,0.9000017813273838,"(0.108603, 0.132408, 0.151464, 0.165875, 0.178624, 0.189470, 0.199120)","(0.082576, 0.100714, 0.116018, 0.127924, 0.137776, 0.146972, 0.154493)",,,,,,,
msfv3_base00003,epoch,1,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.025072241063289185,0.15822523046215803,0.1188073050468526,71.9175303641786,0.974588986406935,"(0.099408, 0.126758, 0.147707, 0.161265, 0.173661, 0.183753, 0.193550)","(0.074356, 0.095514, 0.112520, 0.123786, 0.133617, 0.141988, 0.149869)",0.023779176607994095,0.15285446175507136,0.11479946704847473,66.69770162446159,0.9125037406172071,"(0.095914, 0.122209, 0.142243, 0.155369, 0.167820, 0.177694, 0.187462)","(0.071636, 0.091981, 0.108337, 0.119374, 0.129347, 0.137656, 0.145265)",,,,,,,
msfv3_base00003,epoch,2,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.022656296578017956,0.15039023780371574,0.1125991203366442,69.1585250205182,0.9770818593654227,"(0.092155, 0.120380, 0.140936, 0.154247, 0.165430, 0.174612, 0.183713)","(0.068909, 0.090544, 0.107226, 0.118111, 0.127053, 0.134517, 0.141833)",0.022201667739344493,0.14720255056662218,0.11083170478897435,63.740571294512065,0.9149557245629174,"(0.091193, 0.117755, 0.136776, 0.150603, 0.162055, 0.170938, 0.180348)","(0.068511, 0.089225, 0.104672, 0.116084, 0.125269, 0.132307, 0.139754)",,,,,,,
msfv3_base00003,epoch,3,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.021720617543905973,0.14724612173298246,0.11036459178208037,68.2088588552272,0.9779518940981399,"(0.090128, 0.118636, 0.138425, 0.151297, 0.162191, 0.170682, 0.178906)","(0.067539, 0.089356, 0.105394, 0.115914, 0.124702, 0.131549, 0.138099)",0.021488867799884508,0.14516586065292358,0.10893117742879051,65.0707984992436,0.9198153295687267,"(0.088688, 0.115228, 0.134966, 0.148138, 0.160642, 0.168916, 0.178138)","(0.066220, 0.086638, 0.102827, 0.113825, 0.124066, 0.130824, 0.138118)",,,,,,,
msfv3_base00003,epoch,4,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.02096216745199041,0.14467919333798576,0.10831243180214091,66.82616806030273,0.9787095179583164,"(0.087523, 0.116832, 0.136434, 0.149180, 0.159515, 0.167730, 0.175197)","(0.065345, 0.087868, 0.103812, 0.114209, 0.122565, 0.129198, 0.135189)",0.020575402869975994,0.14176411740481853,0.1069026735744306,62.489692892347065,0.9202146785599845,"(0.086484, 0.115146, 0.133028, 0.145538, 0.156067, 0.164158, 0.172200)","(0.065145, 0.087719, 0.102209, 0.112166, 0.120681, 0.126971, 0.133428)",,,,,,,
msfv3_base00003,epoch,5,0,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.02038083563340788,0.1426515987103212,0.10670150915517453,65.69407785699723,0.9793322324118716,"(0.085201, 0.115520, 0.134904, 0.147273, 0.157377, 0.165344, 0.172546)","(0.063242, 0.086764, 0.102652, 0.112797, 0.120955, 0.127351, 0.133149)",0.020802603901496956,0.14322125645620482,0.10730997286736965,66.68987383161273,0.9200388256992612,"(0.087376, 0.114332, 0.133907, 0.146922, 0.158676, 0.166843, 0.173812)","(0.065407, 0.085697, 0.101797, 0.112558, 0.122262, 0.128911, 0.134539)",,,,,,,
msfv3_base00003,epoch,6,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.020048365294140703,0.14149623426399816,0.1057715663646764,64.9526808921327,0.9796691311800734,"(0.083591, 0.114647, 0.134059, 0.146548, 0.156432, 0.164031, 0.170653)","(0.061791, 0.086009, 0.102006, 0.112250, 0.120249, 0.126386, 0.131709)",0.02009807334148458,0.14012323772268637,0.10550031598125185,62.55422953196934,0.9234437474182674,"(0.083662, 0.112598, 0.129159, 0.143024, 0.153882, 0.164343, 0.172642)","(0.063054, 0.085490, 0.098536, 0.110261, 0.119036, 0.127650, 0.134476)",,,,,,,
msfv3_base00003,epoch,7,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.019487580165584037,0.13948624724713826,0.10405909297789664,63.764510459088264,0.9802418820401455,"(0.081135, 0.112926, 0.132401, 0.144742, 0.154302, 0.161744, 0.168316)","(0.059484, 0.084524, 0.100642, 0.110790, 0.118529, 0.124545, 0.129899)",0.019164448703772256,0.13694240365709578,0.10242039284535817,60.5001129082271,0.9260336756706238,"(0.078839, 0.109117, 0.128061, 0.141338, 0.151764, 0.159865, 0.167515)","(0.058174, 0.081813, 0.097486, 0.108443, 0.117159, 0.123798, 0.130070)",,,,,,,
msfv3_base00003,epoch,8,0,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.019192705029978396,0.13845446443854714,0.10327514562200993,63.22171357337465,0.9805531432019904,"(0.080398, 0.112797, 0.131838, 0.143915, 0.153089, 0.160228, 0.166496)","(0.058744, 0.084407, 0.100214, 0.110160, 0.117608, 0.123353, 0.128441)",0.01993104546064777,0.13958907366863318,0.10579189737992627,61.41103492464338,0.921159776193755,"(0.080434, 0.112703, 0.131457, 0.143326, 0.154121, 0.163140, 0.169959)","(0.060246, 0.086187, 0.101663, 0.111193, 0.120242, 0.127709, 0.133305)",,,,,,,
msfv3_base00003,epoch,9,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.019130194599324083,0.13823569821145604,0.10314383310206393,63.07316404707888,0.980588619062241,"(0.080210, 0.112779, 0.131693, 0.143821, 0.152948, 0.159979, 0.165848)","(0.058596, 0.084399, 0.100128, 0.110131, 0.117534, 0.123219, 0.127999)",0.018870764578293477,0.1361116242728063,0.10142288569893156,61.06593380655561,0.9278336593082973,"(0.078269, 0.107834, 0.128008, 0.140594, 0.151668, 0.158926, 0.165471)","(0.056905, 0.080230, 0.097020, 0.107517, 0.116702, 0.122930, 0.128655)",,,,,,,
msfv3_base00003,epoch,10,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.018676422050896476,0.13656631590740162,0.10161247243113974,61.93924372246925,0.9810450625546435,"(0.078208, 0.111111, 0.130158, 0.142236, 0.151192, 0.158194, 0.164174)","(0.056560, 0.082831, 0.098761, 0.108764, 0.116059, 0.121706, 0.126606)",0.018526896185773824,0.13474845753184386,0.10023196414113045,59.25667864935739,0.9289224978004184,"(0.075451, 0.106890, 0.128564, 0.139451, 0.149416, 0.157035, 0.163964)","(0.054437, 0.079354, 0.097238, 0.106409, 0.115083, 0.121696, 0.127408)",,,,,,,
msfv3_base00003,epoch,11,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.01861103034598079,0.13632728180472226,0.10152140580751795,61.83982591426119,0.9811395799860041,"(0.078508, 0.111250, 0.130178, 0.141957, 0.150881, 0.157729, 0.163473)","(0.056940, 0.083082, 0.098901, 0.108586, 0.115813, 0.121323, 0.126004)",0.01836857953042324,0.13399759919515677,0.10011396663529533,58.215689761298044,0.9295442402362823,"(0.075529, 0.107407, 0.125731, 0.138728, 0.148574, 0.156358, 0.163516)","(0.054582, 0.080098, 0.095670, 0.106715, 0.115040, 0.121289, 0.127404)",,,,,,,
msfv3_base00003,epoch,12,1,MSFv3,14,7,./checkpoints/msfv3_base00003.pt,128,4,4,"(2, 4, 8, 16, 32)",0.018690147937493438,0.13661527823066874,0.10179655971203713,61.67042212790631,0.9810557159337592,"(0.078667, 0.111555, 0.130698, 0.142401, 0.151126, 0.157973, 0.163624)","(0.057049, 0.083303, 0.099340, 0.108982, 0.116091, 0.121629, 0.126181)",0.018308312848343382,0.1338933019765786,0.10015844766582761,58.87052025113787,0.9293506847960609,"(0.074445, 0.107241, 0.125887, 0.138459, 0.148573, 0.156586, 0.163352)","(0.053848, 0.080633, 0.096087, 0.106505, 0.115058, 0.121733, 0.127246)",,,,,,,
