exp_name,tag,epoch,is_best_val,model,tin,tout,ckpt_path,d_model,depth,num_heads,spatial_scales,train_mse,train_rmse,train_mae,train_mape,train_r2,train_rmse_t,train_mae_t,val_mse,val_rmse,val_mae,val_mape,val_r2,val_rmse_t,val_mae_t,test_mse,test_rmse,test_mae,test_mape,test_r2,test_rmse_t,test_mae_t
msfv3_gdl01,epoch,0,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.1348764027191445,0.29315256016869395,0.22451678516858437,118.92205739528575,0.8627277121264884,"(0.244989, 0.280249, 0.274757, 0.299400, 0.305136, 0.305423, 0.328849)","(0.185935, 0.213319, 0.211677, 0.231973, 0.234442, 0.236375, 0.257896)",0.027396991848945618,0.1639296290065561,0.12290989101997443,71.54029744012016,0.9021302142313549,"(0.104129, 0.132871, 0.147673, 0.167088, 0.178684, 0.189793, 0.204085)","(0.078002, 0.099987, 0.112261, 0.128126, 0.136825, 0.146063, 0.159106)",,,,,,,
msfv3_gdl01,epoch,1,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.025853681358251165,0.16068472738413897,0.11993182898360363,73.05931752793332,0.9737973508048565,"(0.097130, 0.128275, 0.146850, 0.164092, 0.176892, 0.188029, 0.199047)","(0.071479, 0.095862, 0.111400, 0.125640, 0.135690, 0.144968, 0.154484)",0.02459706206406866,0.15569798009736197,0.11613875521080834,69.52433691705976,0.9109330411468234,"(0.095327, 0.124491, 0.141259, 0.158153, 0.170777, 0.182695, 0.193395)","(0.070396, 0.092821, 0.106850, 0.121108, 0.130961, 0.140755, 0.150081)",,,,,,,
msfv3_gdl01,epoch,2,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.023549968020078985,0.15332945114521876,0.11422964502522286,71.14509373522819,0.976175809160192,"(0.089825, 0.121451, 0.141163, 0.156865, 0.169378, 0.180530, 0.189365)","(0.066334, 0.090776, 0.107088, 0.120026, 0.129961, 0.139066, 0.146356)",0.022562566113525202,0.1486483844263213,0.11101015524140426,65.66603541374207,0.9153300268309457,"(0.087830, 0.117415, 0.135727, 0.151438, 0.163760, 0.175298, 0.184740)","(0.065213, 0.087894, 0.103404, 0.116353, 0.126019, 0.135229, 0.142959)",,,,,,,
msfv3_gdl01,epoch,3,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.022332970766310998,0.14932759871890477,0.1113359539353467,69.67885271031805,0.9773338132716239,"(0.086737, 0.118481, 0.138392, 0.153241, 0.165127, 0.175506, 0.183702)","(0.064238, 0.088696, 0.105134, 0.117356, 0.126835, 0.135257, 0.141835)",0.021990533053342785,0.14690692030957767,0.10968245326408319,66.06484651565552,0.9180582527603421,"(0.084686, 0.115087, 0.134726, 0.150682, 0.163342, 0.172869, 0.181876)","(0.062583, 0.086149, 0.102410, 0.115808, 0.125965, 0.133764, 0.141098)",,,,,,,
msfv3_gdl01,epoch,4,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.021599198017824204,0.14684607464867433,0.10948952580703065,68.30464198741507,0.9780611224631046,"(0.084598, 0.116771, 0.136989, 0.151239, 0.162459, 0.172183, 0.179990)","(0.062470, 0.087386, 0.104115, 0.115873, 0.124861, 0.132699, 0.139024)",0.020678981140788113,0.14237823523581028,0.1057494373193809,63.93158721923828,0.9209027481930596,"(0.080520, 0.111732, 0.131105, 0.146208, 0.157622, 0.167460, 0.177011)","(0.058795, 0.083219, 0.099367, 0.111945, 0.121126, 0.128986, 0.136808)",,,,,,,
msfv3_gdl01,epoch,5,0,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.021013954515628357,0.1448443604935904,0.10786709982029935,66.84391535089371,0.9786870993198232,"(0.082318, 0.115465, 0.135672, 0.149577, 0.160381, 0.169558, 0.177264)","(0.060231, 0.086253, 0.103099, 0.114609, 0.123330, 0.130666, 0.136881)",0.021762003989091942,0.14658416115811893,0.10918115265667439,68.8274507181985,0.9159690460988453,"(0.083775, 0.114037, 0.135380, 0.150978, 0.164151, 0.172546, 0.179911)","(0.061811, 0.084979, 0.102768, 0.115755, 0.126585, 0.133209, 0.139162)",,,,,,,
msfv3_gdl01,epoch,6,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.020697567572302008,0.14376817473605957,0.10696606357839514,65.81907211466039,0.9790110825858218,"(0.080894, 0.114667, 0.134891, 0.148906, 0.159466, 0.168212, 0.175571)","(0.058807, 0.085528, 0.102443, 0.114076, 0.122618, 0.129664, 0.135627)",0.020695750169189914,0.14218249863811902,0.10624031216970511,62.989621434892925,0.9204334318637848,"(0.078967, 0.111414, 0.130507, 0.146225, 0.158193, 0.167410, 0.176837)","(0.058246, 0.083810, 0.099558, 0.112882, 0.122501, 0.129458, 0.137227)",,,,,,,
msfv3_gdl01,epoch,7,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.020219118938721876,0.14207799176066246,0.10555811943684487,64.69743722550412,0.9794993333994074,"(0.079353, 0.113404, 0.133653, 0.147346, 0.157614, 0.166115, 0.173358)","(0.057273, 0.084459, 0.101435, 0.112794, 0.121119, 0.127978, 0.133849)",0.019809862864868983,0.13929198256560735,0.1036423881139074,61.292664357594084,0.922818015728678,"(0.076664, 0.109463, 0.128853, 0.143655, 0.154787, 0.163933, 0.172489)","(0.055969, 0.081944, 0.097817, 0.110015, 0.119248, 0.126745, 0.133759)",,,,,,,
msfv3_gdl01,epoch,8,0,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.019988582974814987,0.1412947003748208,0.10489969288415098,64.15273635945421,0.9797461882550665,"(0.078508, 0.113164, 0.133269, 0.146695, 0.156784, 0.164991, 0.172096)","(0.056344, 0.084228, 0.101107, 0.112242, 0.120465, 0.127078, 0.132833)",0.01992751468372132,0.1395868823996612,0.10435630780245576,60.81443340437753,0.9209737798997334,"(0.077975, 0.110128, 0.129618, 0.144114, 0.154722, 0.163836, 0.172345)","(0.057041, 0.082783, 0.098920, 0.111141, 0.119613, 0.127002, 0.133994)",,,,,,,
msfv3_gdl01,epoch,9,1,MSFv3,14,7,./checkpoints/msfv3_gdl01.pt,128,4,4,"(2, 4, 8, 16)",0.019978442467115026,0.1412705696947046,0.10491545672746415,63.99524926124735,0.9797214501081629,"(0.078554, 0.113139, 0.133297, 0.146745, 0.156800, 0.164989, 0.171856)","(0.056450, 0.084232, 0.101160, 0.112307, 0.120473, 0.127090, 0.132695)",0.019618264898391708,0.13878863570945604,0.10273943681802068,61.78487777709961,0.9239109243665423,"(0.076058, 0.108870, 0.128527, 0.142867, 0.154566, 0.163785, 0.171480)","(0.054552, 0.080748, 0.097468, 0.109161, 0.118556, 0.126061, 0.132630)",,,,,,,
